iter	Logloss
0	0.5169664517
1	0.4351257894
2	0.3786396127
3	0.344403936
4	0.3100676495
5	0.2914107315
6	0.2728712439
7	0.2539783991
8	0.2475794069
9	0.2342697179
10	0.2284189588
11	0.2238158385
12	0.2148628207
13	0.2121997175
14	0.2055677286
15	0.2022701189
16	0.1978902512
17	0.1963477488
18	0.1942763976
19	0.1913670295
20	0.1883822765
21	0.1869158119
22	0.1858814536
23	0.1833376476
24	0.1807754212
25	0.1775381994
26	0.1747612327
27	0.1734642755
28	0.1718151858
29	0.1704385622
30	0.1692662053
31	0.1682388969
32	0.1669092905
33	0.1663621695
34	0.165421231
35	0.1643901975
36	0.1631796402
37	0.1616239834
38	0.1604314982
39	0.1590795941
40	0.158333526
41	0.157283652
42	0.1569061869
43	0.1560310155
44	0.1551132714
45	0.1537293388
46	0.1526540591
47	0.1514304179
48	0.1508666352
49	0.1504229532
50	0.1491753561
51	0.1479587454
52	0.1476339867
53	0.1471670698
54	0.1465354783
55	0.146077871
56	0.1451433261
57	0.1445091028
58	0.1436758631
59	0.1426372091
60	0.1419938424
61	0.1413746067
62	0.1407957879
63	0.1403579128
64	0.139925729
65	0.1394674265
66	0.138590816
67	0.1379958677
68	0.1374059094
69	0.1369744423
70	0.1361589218
71	0.1351213343
72	0.1345923715
73	0.1341249548
74	0.1336167406
75	0.1333751232
76	0.1330489548
77	0.1322994392
78	0.1318352357
79	0.1314569624
80	0.1311143186
81	0.1305756083
82	0.1302698534
83	0.1295666187
84	0.1290747209
85	0.1286026139
86	0.1284095476
87	0.1281495797
88	0.1278800046
89	0.1274964692
90	0.1270773207
91	0.1267308067
92	0.1263301255
93	0.1258885214
94	0.1253055408
95	0.1249816926
96	0.1248354853
97	0.1244612392
98	0.1242608129
99	0.1235811532
100	0.1230787411
101	0.1228370214
102	0.1222614047
103	0.1218962337
104	0.1213853956
105	0.1209744167
106	0.1204996873
107	0.1202469338
108	0.1200995887
109	0.1198886822
110	0.1195205199
111	0.119248314
112	0.1190237592
113	0.1188273374
114	0.1185902994
115	0.1182180562
116	0.117813225
117	0.1172986988
118	0.117098125
119	0.11686698
120	0.1166732407
121	0.1163448681
122	0.1159953118
123	0.1157201919
124	0.1153417332
125	0.1150289059
126	0.1147103615
127	0.1142940356
128	0.1140153148
129	0.1138399781
130	0.1136150593
131	0.1134614616
132	0.1133164331
133	0.1131026303
134	0.1129172043
135	0.1127425892
136	0.1125802469
137	0.1124011672
138	0.1121952321
139	0.1120577661
140	0.1119317089
141	0.1117028062
142	0.1114197443
143	0.1110936637
144	0.1108552689
145	0.1104410903
146	0.1101391537
147	0.1100161459
148	0.1096881544
149	0.1095430266
150	0.1092710402
151	0.109063369
152	0.108638267
153	0.1082554881
154	0.1079611228
155	0.1077822095
156	0.1074224169
157	0.1068635577
158	0.1066807455
159	0.1061831629
160	0.1058031056
161	0.1054525946
162	0.1051361871
163	0.1048679864
164	0.1044958198
165	0.1043309963
166	0.1040696441
167	0.1038757503
168	0.103526523
169	0.103302128
170	0.1030984853
171	0.1029365244
172	0.1026110001
173	0.1024810783
174	0.1023330778
175	0.1022074503
176	0.1020905047
177	0.1019491379
178	0.1017451631
179	0.1014661756
180	0.1011539306
181	0.1009548477
182	0.1005840682
183	0.1003416854
184	0.1001819266
185	0.1000224286
186	0.09975638187
187	0.09953752977
188	0.09935038046
189	0.09916113073
190	0.09903167742
191	0.09887734831
192	0.09866061774
193	0.09840719739
194	0.09824297085
195	0.09802291565
196	0.09785225057
197	0.09765333918
198	0.09742511215
199	0.0972679965
200	0.09716835198
201	0.09698667225
202	0.09687699677
203	0.09676987209
204	0.09656045638
205	0.09636069807
206	0.09613006997
207	0.09596242281
208	0.09580412289
209	0.09567109819
210	0.09559953002
211	0.09542497672
212	0.09513745742
213	0.09493954959
214	0.09472372663
215	0.09448004039
216	0.09436525002
217	0.09423379929
218	0.09409438915
219	0.09397683885
220	0.09384943752
221	0.09376580871
222	0.0936154546
223	0.09348959752
224	0.0932703898
225	0.09308672648
226	0.09298662059
227	0.09279147203
228	0.09265755287
229	0.09250258384
230	0.09234949002
231	0.09223031626
232	0.09209520849
233	0.0919681555
234	0.09184074946
235	0.09158356996
236	0.09144012451
237	0.09132980519
238	0.09123995538
239	0.09096300463
240	0.09070538011
241	0.09040661763
242	0.09025123812
243	0.09002779866
244	0.08990466119
245	0.08977935518
246	0.08965316006
247	0.08947107398
248	0.08929001416
249	0.08909760959
250	0.08893442866
251	0.08876044504
252	0.0886788068
253	0.08854212561
254	0.08838812739
255	0.08819936307
256	0.08798099151
257	0.08767359265
258	0.087573766
259	0.087450397
260	0.08734254958
261	0.08724208004
262	0.08697236964
263	0.08683001929
264	0.08672000631
265	0.08659551145
266	0.08649641737
267	0.0862744037
268	0.08605556449
269	0.08589078952
270	0.08572331336
271	0.08564437621
272	0.08545742898
273	0.08517395026
274	0.08505257542
275	0.08493753536
276	0.08472358895
277	0.08455076276
278	0.08443680669
279	0.08423336704
280	0.08412179348
281	0.08405748348
282	0.08397823022
283	0.08386930812
284	0.08373120185
285	0.08356672439
286	0.08343947078
287	0.08334079674
288	0.08320334703
289	0.08307366269
290	0.08287605123
291	0.08261211721
292	0.08253424801
293	0.08237348864
294	0.08224962079
295	0.08216148052
296	0.08199169839
297	0.08169506927
298	0.08162679919
299	0.08152659899
300	0.08139859242
301	0.0812847932
302	0.08120715596
303	0.08102427239
304	0.08096111136
305	0.08085491872
306	0.08078330877
307	0.08049321846
308	0.08037949318
309	0.08029735165
310	0.08012707549
311	0.08002918442
312	0.07989951988
313	0.07977058093
314	0.07960088125
315	0.07939346461
316	0.07929888622
317	0.07915685114
318	0.07903149858
319	0.07893533212
320	0.07880341307
321	0.07867133928
322	0.07857168383
323	0.07845757264
324	0.07828119079
325	0.07818892556
326	0.07806037375
327	0.07791448914
328	0.07782016373
329	0.077730021
330	0.0776268428
331	0.07750740125
332	0.07740187398
333	0.07731933247
334	0.07717947461
335	0.07704893357
336	0.07691036391
337	0.07684871214
338	0.07676182358
339	0.07666475694
340	0.07651158302
341	0.07632804166
342	0.07621927276
343	0.07601253734
344	0.0759258626
345	0.07584322933
346	0.07569231294
347	0.07561331268
348	0.07548311849
349	0.0754223362
350	0.07533305834
351	0.07517629372
352	0.07510481892
353	0.07500789477
354	0.07488744012
355	0.07478958713
356	0.07456124044
357	0.07448765982
358	0.07440210992
359	0.07426248299
360	0.07418798524
361	0.07416172676
362	0.07407920998
363	0.07395426315
364	0.07380576007
365	0.07369362521
366	0.07356814678
367	0.07351383107
368	0.07341644742
369	0.07320176123
370	0.07307633326
371	0.07297851247
372	0.07281357349
373	0.07270734672
374	0.0725663186
375	0.07232660191
376	0.07212137945
377	0.07201727298
378	0.07190819724
379	0.07182364154
380	0.07173624263
381	0.07166012956
382	0.07155043639
383	0.07145705605
384	0.07127985785
385	0.07122037355
386	0.07110044025
387	0.07103241241
388	0.070939272
389	0.07083258749
390	0.0707389014
391	0.07057855597
392	0.07047944312
393	0.07040255765
394	0.07027216169
395	0.07015552359
396	0.07006964131
397	0.06993815441
398	0.06982107515
399	0.06973031606
